2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,cityName-ch,cityName,distance-Wuhan,distance-Xiaogan,distance-Huanggang,distance-Suizhou,distance-Jingzhou
,,3.0,3.0,5.0,6.0,6.0,7.0,8.0,14.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,丽水,Lishui,590.362441421838,694.7664681428619,537.2290925757525,726.9784787474132,773.7817954356489
1.0,2.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,丽江,Lijiang,1431.4918801057727,1438.2512682078523,1482.0893977537542,1383.4100154883201,1233.7198379192175
,,,,,,,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,乌兰察布,Wulanchabu,1170.2790162861277,1012.5847402651117,1184.8010127231976,1032.7648979903552,1188.672627454768
,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,乌海,Wuhai,1222.3883606709442,1071.6440187135483,1258.846507648183,1062.7257482976775,1147.4614295835127
,3.0,3.0,4.0,5.0,6.0,7.0,8.0,8.0,8.0,10.0,12.0,12.0,15.0,18.0,19.0,20.0,20.0,20.0,20.0,21.0,23.0,23.0,乌鲁木齐,Wulumuqi,2766.643857707664,2640.25231831751,2813.8202748960803,2614.2323394699642,2628.8717104057346
,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,乐东,Ledong,1405.2939560589791,1536.6042096631897,1419.1075039033174,1499.5724352680818,1322.153305859444
,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,乐山,Leshan,1021.940622693212,1004.6871508326952,1075.2526611483943,950.8862981681086,822.3876553075994
1.0,2.0,2.0,4.0,9.0,16.0,31.0,42.0,43.0,55.0,64.0,78.0,86.0,92.0,95.0,97.0,100.0,101.0,101.0,105.0,109.0,114.0,115.0,九江,Jiujiang,183.45468339149448,314.4462633083283,133.4010466647042,333.33921920502047,366.18024933245243
,,,,,,,,,,,,,1.0,1.0,,,,,,,,,五家渠,Wujiaqu,2801.760889127516,2673.252590520129,2848.350113933785,2648.337326577861,2667.1105165274216
1.0,4.0,6.0,6.0,8.0,15.0,20.0,20.0,25.0,30.0,39.0,48.0,58.0,66.0,72.0,81.0,87.0,92.0,92.0,97.0,100.0,106.0,107.0,亳州,Bozhou,396.87161536025815,278.7313721454005,390.2083531175086,328.5015903763386,515.6681790817445
2.0,10.0,11.0,12.0,27.0,32.0,55.0,90.0,97.0,140.0,169.0,188.0,225.0,265.0,307.0,359.0,379.0,416.0,438.0,460.0,480.0,500.0,514.0,仙桃,Xiantao,92.12128078753062,187.04481915365034,143.43212484181285,157.86817296041,110.26685144597296
,,,,,,,,,,,,,,,,,,,,,1.0,1.0,伊春,Yichun,2281.9252114005753,2167.116098798084,2264.0086811161727,2212.6551644234223,2400.4349810171666
,,1.0,1.0,2.0,4.0,4.0,5.0,5.0,5.0,6.0,7.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,12.0,14.0,14.0,16.0,伊犁,Yili,3255.9134714122683,3134.7499419974506,3304.4592083334464,3106.275964875001,3109.8159755300844
7.0,9.0,11.0,14.0,18.0,21.0,25.0,33.0,39.0,43.0,45.0,49.0,50.0,57.0,59.0,64.0,67.0,70.0,70.0,78.0,81.0,82.0,84.0,佛山,Foshan,836.2208943678583,986.0697612553976,837.2792124192135,960.8606642807638,811.5096408745351
,,,1.0,1.0,5.0,5.0,8.0,11.0,11.0,11.0,11.0,11.0,12.0,13.0,13.0,13.0,14.0,15.0,15.0,15.0,15.0,15.0,佳木斯,Jiamusi,2276.5916076286235,2169.56287149362,2255.3065959568416,2217.109951033864,2405.207549988233
,,,,,,,,,,,,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,保亭,Baoting,1395.8671277318488,1530.6076401685473,1407.561661658397,1495.1344849520306,1320.4011724272814
,1.0,3.0,3.0,3.0,6.0,7.0,11.0,11.0,13.0,13.0,13.0,17.0,17.0,18.0,18.0,21.0,26.0,30.0,31.0,31.0,31.0,32.0,保定,Baoding,930.2651171337097,781.9508429710804,934.6291212693924,813.9598263199442,990.2639942356881
,,2.0,3.0,4.0,4.0,5.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,保山,Baoshan,1604.6459705006198,1624.8548820809062,1653.2078060170354,1569.841467132093,1410.4765720272571
1.0,5.0,22.0,23.0,29.0,32.0,42.0,49.0,70.0,88.0,99.0,112.0,138.0,164.0,176.0,192.0,205.0,220.0,228.0,231.0,240.0,243.0,252.0,信阳,Xinyang,179.84600853598218,28.28707854091331,201.91097529778386,80.49182677981189,265.28688471167095
,3.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,8.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,15.0,15.0,15.0,15.0,儋州,Danzhou,1309.1585138303333,1440.0689021275214,1323.4062355106548,1402.9901238681957,1225.6595831616642
,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,公主岭,Gongzhuling,1734.3005964168315,1620.3671084857774,1716.6062059542533,1666.4830214082538,1854.4508785979558
2.0,2.0,3.0,3.0,4.0,6.0,8.0,9.0,13.0,13.0,20.0,30.0,34.0,36.0,41.0,51.0,54.0,57.0,59.0,59.0,60.0,61.0,63.0,六安,Liuan,247.439784029311,245.15516807351673,210.5896850273211,294.8046638698161,434.12391153311955
,,,1.0,1.0,1.0,1.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,六盘水,Liupanshui,1025.6774147060926,1062.8052605165062,1072.2408430938635,1008.3039963460552,837.1784319844232
1.0,2.0,4.0,8.0,11.0,14.0,14.0,15.0,23.0,23.0,26.0,30.0,30.0,30.0,32.0,33.0,33.0,33.0,35.0,35.0,35.0,,35.0,兰州,Lanzhou,1158.6308698140704,1044.6170764717845,1208.081916174934,1012.0961514397501,1013.8615935624808
,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,兴安,Xingan,652.5961473855396,768.8893333209522,677.4252980926652,728.207316317292,547.0464325657297
,1.0,1.0,1.0,3.0,4.0,4.0,6.0,10.0,11.0,12.0,15.0,15.0,16.0,17.0,17.0,17.0,17.0,18.0,20.0,21.0,21.0,22.0,内江,Neijiang,899.5962665480496,887.3684948089231,952.679501593545,833.1238037793247,699.8845237609879
,,,1.0,2.0,2.0,2.0,3.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,凉山,Liangshan,1206.7963024486792,1209.623700231279,1258.086206956647,1154.8515460600793,1008.1319203314706
,,,2.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,6.0,7.0,9.0,9.0,10.0,10.0,11.0,,11.0,11.0,11.0,11.0,包头,Baotou,1182.1793956844467,1022.8845144182293,1208.1283602367778,1029.0805125725826,1154.8986959114288
36.0,41.0,68.0,80.0,91.0,111.0,114.0,139.0,168.0,191.0,212.0,228.0,253.0,274.0,297.0,315.0,326.0,337.0,342.0,352.0,366.0,372.0,375.0,北京,Beijing,1060.9961651096303,916.892846563268,1061.6246178240585,951.5259760977867,1130.627449819951
6.0,6.0,9.0,9.0,11.0,13.0,15.0,17.0,23.0,23.0,13.5,27.0,29.0,31.0,31.0,32.0,33.0,35.0,36.0,39.0,39.0,40.0,43.0,北海,Beihai,1126.8706925930517,1249.6436383457728,1146.117037318195,1209.6884369755596,1028.2121713893393
1.0,5.0,20.0,40.0,65.0,88.0,119.0,150.0,177.0,212.0,256.0,291.0,318.0,353.0,395.0,438.0,467.0,481.0,505.0,536.0,562.0,586.0,597.0,十堰,Shiyan,409.1054019780308,304.83338304433346,458.35129275777354,265.152551001871,291.62607894972734
3.0,4.0,7.0,7.0,10.0,14.0,19.0,25.0,28.0,35.0,40.0,44.0,47.0,52.0,57.0,65.0,71.0,78.0,84.0,87.0,90.0,91.0,91.0,南京,Nanjing,457.74895464522103,460.4347111330135,412.52906594027223,512.1859157695535,651.1868372528966
,,2.0,2.0,4.0,5.0,9.0,11.0,16.0,23.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,34.0,35.0,35.0,35.0,南充,Nanchong,786.7621927037732,752.6557126971985,841.0753470044705,700.0711588656727,590.8862840640912
,,1.0,5.0,5.0,7.0,15.0,16.0,16.0,16.0,22.0,27.0,28.0,30.0,31.0,32.0,35.0,37.0,41.0,44.0,44.0,47.0,49.0,南宁,Nanning,1037.9705324287695,1147.096457493304,1063.9253731516314,1103.0678608924609,916.8609762922379
,,1.0,2.0,3.0,3.0,3.0,3.0,8.0,8.0,11.0,11.0,12.0,12.0,12.0,14.0,16.0,18.0,19.0,19.0,20.0,20.0,20.0,南平,Nanping,511.3000801980555,650.3687318932955,466.77284064370923,667.4937425170019,661.6399934800262
2.0,3.0,4.0,8.0,17.0,25.0,46.0,67.0,83.0,89.0,103.0,121.0,134.0,149.0,162.0,168.0,179.0,189.0,195.0,204.0,210.0,217.0,222.0,南昌,Nanchang,254.99010493281259,406.5293088427225,218.69681307978584,414.52050079956985,398.30697435319905
1.0,1.0,2.0,4.0,6.0,6.0,9.0,10.0,12.0,17.0,19.0,22.0,25.0,27.0,29.0,31.0,32.0,33.0,35.0,37.0,38.0,39.0,40.0,南通,Nantong,664.4405594242185,674.7911133594496,615.9411110507023,726.5734147878861,861.1832023975587
,8.0,15.0,19.0,26.0,31.0,51.0,61.0,66.0,75.0,84.0,99.0,107.0,111.0,118.0,128.0,133.0,134.0,136.0,138.0,145.0,146.0,150.0,南阳,Nanyang,323.50337802415186,177.31757183161037,361.0666356061285,164.07843670773744,298.12852425923893
3.0,3.0,4.0,4.0,5.0,6.0,7.0,13.0,17.0,18.0,19.0,20.0,21.0,21.0,23.0,25.0,25.0,28.0,31.0,32.0,34.0,34.0,34.0,厦门,Shamen,768.742671714351,923.2010179219279,735.4525644614646,928.2413433122445,870.9620761000995
,,,1.0,1.0,1.0,1.0,1.0,2.0,4.0,7.0,12.0,16.0,20.0,36.0,36.0,38.0,38.0,38.0,39.0,39.0,48.0,48.0,双鸭山,Shuangyashan,2305.7228734520354,2201.8811432089087,2283.112396049806,2250.141236233347,2438.148187173714
18.0,20.0,21.0,22.0,22.0,40.0,64.0,81.0,95.0,100.0,109.0,115.0,122.0,124.0,129.0,133.0,138.0,141.0,143.0,143.0,144.0,144.0,145.0,台州,Taizhou,720.4764649135013,808.8830739617821,666.2549463903197,846.3893109188674,910.553807388733
6.0,10.0,13.0,13.0,16.0,29.0,39.0,50.0,59.0,59.0,75.0,81.0,93.0,104.0,115.0,128.0,136.0,147.0,150.0,157.0,161.0,166.0,168.0,合肥,Hefei,318.83880435658267,317.9322954869974,277.7621065627943,368.7957476396796,508.67092809949
1.0,1.0,2.0,3.0,3.0,4.0,5.0,8.0,11.0,12.0,13.0,15.0,15.0,15.0,16.0,17.0,17.0,18.0,19.0,21.0,21.0,20.0,20.0,吉安,Jian,382.2958959168763,541.8768112876453,368.0927436453811,532.4804417134019,444.71591428845227
1.0,2.0,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,吉林,Jilin,1834.028322100284,1727.622894930699,1812.9635708483504,1775.5502087004704,1963.6094508963258
,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,吐鲁番,Tulufan,2616.4064036525647,2491.651525227823,2663.9931404399545,2464.7828318671604,2476.6535296773595
,,,1.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,吕梁,Lvliang,830.3284427364606,671.5985757072782,858.0451280644229,676.2412335714014,804.4708657960567
,,,,2.0,3.0,5.0,5.0,6.0,7.0,7.0,7.0,,8.0,9.0,9.0,10.0,13.0,15.0,19.0,22.0,25.0,27.0,吴忠,Wuzhong,1114.0325230161052,972.9978527004281,1155.7111634529158,955.4001901402252,1014.7195699426424
1.0,4.0,5.0,11.0,15.0,19.0,25.0,36.0,38.0,40.0,47.0,52.0,56.0,59.0,60.0,62.0,62.0,65.0,65.0,66.0,68.0,69.0,70.0,周口,Zhoukou,346.1826801665629,201.27813188526943,354.4565552612322,242.33094446261924,429.6546660014412
,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,,6.0,6.0,6.0,6.0,呼伦贝尔,Hulunbeier,2124.6544838973673,1980.4743890000047,2123.672728272974,2013.682405148636,2189.175151689703
,,,,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,呼和浩特,Huhehaote,1167.752530838233,1008.103256727039,1187.8020100264077,1021.8352110617254,1164.8284291041696
,,43.0,64.0,91.0,112.0,130.0,166.0,206.0,246.0,296.0,348.0,384.0,399.0,443.0,476.0,493.0,507.0,515.0,525.0,534.0,732.0,840.0,咸宁,Xianning,72.11411920838735,230.0147658809984,84.989231469911,222.25765764702842,203.03097236057914
1.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,8.0,9.0,9.0,11.0,15.0,15.0,15.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,咸阳,Xianyang,676.3001952145033,554.6218016613491,723.4363515268116,524.5877062085528,556.1187997492706
1.0,6.0,8.0,8.0,10.0,11.0,13.0,18.0,25.0,34.0,45.0,63.0,73.0,82.0,94.0,100.0,114.0,128.0,146.0,150.0,159.0,164.0,167.0,哈尔滨,Haerbin,2000.7898546100344,1886.1316996174407,1983.0794568142692,1931.863055642507,2119.7179316407205
,,,,1.0,3.0,3.0,7.0,8.0,11.0,11.0,11.0,12.0,17.0,19.0,23.0,27.0,28.0,31.0,33.0,35.0,43.0,46.0,唐山,Tangshan,1065.5388013855718,932.4006886099424,1059.0892959906748,972.8499552239666,1157.8804247649782
,,,6.0,7.0,14.0,18.0,27.0,29.0,36.0,50.0,60.0,61.0,65.0,72.0,76.0,82.0,83.0,86.0,86.0,87.0,88.0,90.0,商丘,Shangqiu,452.5748861020878,323.16710887398216,449.59727197041747,368.87909171735055,556.9581591941561
,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,商洛,Shangluo,555.3621179201094,430.44155709930203,601.3341096536011,401.5853732028361,449.01560847983853
3.0,4.0,8.0,8.0,11.0,14.0,16.0,16.0,18.0,19.0,19.0,23.0,27.0,30.0,35.0,37.0,38.0,40.0,40.0,42.0,42.0,42.0,43.0,嘉兴,Jiaxing,618.8077464829801,664.0650066163496,565.9430062171351,710.7468037211964,818.5411254267106
,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,8.0,9.0,10.0,10.0,12.0,12.0,12.0,12.0,13.0,14.0,14.0,四平,Siping,1663.226453348997,1550.809797404074,1644.9696413300176,1597.3892695014752,1785.442765125879
,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,固原,Guyuan,963.982776372569,838.0775665603192,1010.5761173714186,810.8944529552191,839.668374658222
,1.0,1.0,,,,,,,,,,,,,,,,,,,,,固始,Gushi,224.63670349602515,169.4519568550791,206.73051125065487,223.22487062076152,385.6491360095735
,,,,,,,,,,,,,4.0,4.0,,,,,,,,,塔城,Tacheng,3236.4138275916353,3104.4595674027564,3281.9997694345097,3081.48940418595,3106.3543078176144
,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,大兴安岭,Daxinganling,2519.036384628509,2381.4122247873834,2513.1745157262876,2418.1898448445445,2598.3297167181277
,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,大同,Datong,1069.0234214246634,911.5243971461446,1083.3632722509526,932.3134512487261,1090.1088991478862
1.0,1.0,3.0,5.0,5.0,5.0,5.0,7.0,8.0,8.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,14.0,15.0,15.0,18.0,19.0,大庆,Daqing,2008.46570976873,1885.2184767353372,1994.8445465505051,1928.289238226814,2114.8325614715063
,1.0,1.0,2.0,3.0,3.0,4.0,6.0,6.0,7.0,7.0,7.0,7.0,10.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,大理,Dali,1485.744496064009,1505.0906061748433,1534.5501361758902,1450.077242239896,1291.1691393288138
1.0,4.0,4.0,5.0,5.0,5.0,5.0,7.0,10.0,12.0,12.0,13.0,14.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,17.0,18.0,18.0,大连,Dalian,1146.537529686261,1044.8386702138291,1125.0670585204928,1094.4512705634404,1281.8710498284647
,,,,1.0,1.0,2.0,2.0,3.0,3.0,8.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,,12.0,天水,Tianshui,926.877386470684,821.2439002806242,977.5326274140879,784.9987171377811,776.4286175726422
,,14.0,22.0,24.0,27.0,31.0,32.0,41.0,48.0,60.0,67.0,69.0,78.0,81.0,88.0,90.0,95.0,105.0,112.0,117.0,120.0,122.0,天津,Tianjin,990.925819154681,853.620655018117,987.2422014131131,892.3233493452374,1075.9427649335312
,3.0,5.0,13.0,23.0,34.0,44.0,67.0,82.0,99.0,115.0,117.0,128.0,138.0,163.0,179.0,197.0,217.0,261.0,293.0,362.0,416.0,422.0,天门,Tianmen,114.43942441965125,159.45689825585652,168.91920554234144,120.93313370641494,91.86812355749487
1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,6.0,6.0,6.0,9.0,9.0,11.0,12.0,15.0,17.0,18.0,18.0,18.0,18.0,19.0,太原,Taiyuan,831.600494638813,672.0047560978984,851.8665376555881,686.9030875806102,836.5070193497761
2.0,3.0,4.0,9.0,10.0,12.0,14.0,19.0,24.0,24.0,25.0,25.0,27.0,29.0,31.0,33.0,34.0,35.0,37.0,38.0,38.0,38.0,38.0,威海,Weihai,1056.1719546875531,971.9597828476382,1028.6899465660244,1024.4489211949644,1208.2773856967842
3.0,5.0,5.0,7.0,9.0,13.0,16.0,20.0,26.0,29.0,35.0,40.0,45.0,51.0,53.0,59.0,64.0,66.0,69.0,69.0,72.0,73.0,75.0,娄底,Loudi,386.3909948499268,503.27472035891844,414.4965452883546,464.9902068424964,291.9716741465219
22.0,26.0,55.0,100.0,173.0,274.0,399.0,541.0,628.0,749.0,918.0,1120.0,1462.0,1886.0,2141.0,2313.0,2436.0,2541.0,2642.0,2751.0,2874.0,3009.0,3114.0,孝感,Xiaogan,159.83289681782037,0.0,187.88110693565304,55.01341513624139,237.2459375353978
,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,宁东,Ningdong,1105.3811043774256,961.7442008440788,1145.8776319774274,946.1702024868823,1012.3467073307728
1.0,2.0,3.0,6.0,6.0,7.0,8.0,9.0,9.0,9.0,12.0,12.0,14.0,16.0,16.0,21.0,23.0,24.0,24.0,24.0,25.0,25.0,25.0,宁德,Ningde,665.9578118075209,798.6913400225156,619.1490562969101,819.5926680363822,820.9211187758953
5.0,6.0,13.0,13.0,17.0,20.0,41.0,46.0,55.0,66.0,75.0,102.0,120.0,126.0,136.0,141.0,146.0,149.0,151.0,153.0,153.0,153.0,154.0,宁波,Ningbo,701.8871904399996,766.0568692129614,647.6218059799903,809.4024279826023,899.4752678101177
1.0,4.0,5.0,8.0,8.0,14.0,18.0,18.0,31.0,43.0,47.0,55.0,56.0,60.0,66.0,71.0,75.0,78.0,80.0,80.0,80.0,81.0,82.0,安庆,Anqing,261.0573205533629,335.34834591029573,207.58644054827835,372.6578641010204,460.436145159146
1.0,3.0,3.0,7.0,8.0,10.0,10.0,13.0,14.0,16.0,17.0,17.0,19.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,23.0,24.0,安康,Ankang,557.0373014270414,468.51578588566866,609.1369803062222,425.1401762364783,403.1423045727173
,,3.0,7.0,11.0,14.0,16.0,20.0,24.0,24.0,29.0,33.0,35.0,37.0,40.0,43.0,44.0,45.0,46.0,49.0,50.0,50.0,51.0,安阳,Anyang,618.8908984293345,465.4333076103969,629.6117749638238,494.28170017034205,669.1095795517582
,,,,,,,,,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,安顺,Anshun,948.2971308625063,999.4452941096689,992.3061298932076,945.9282920264945,767.4022614423977
,,,,,,,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,定安,Dingan,1266.46569914097,1402.9740707218934,1277.2589883821781,1368.5291343045203,1195.9704815809112
,,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,9.0,,9.0,定西,Dingxi,1067.4996124464658,954.8774463906747,1117.131063986603,921.6454022091704,922.4663372087332
,,,1.0,1.0,2.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,宜宾,Yibin,942.7439521933651,925.2660894785661,996.1478951458848,871.408362256292,743.2888436013125
