2019-12-01,2019-12-02,2019-12-03,2019-12-04,2019-12-05,2019-12-06,2019-12-07,2019-12-08,2019-12-09,2019-12-10,2019-12-11,2019-12-12,2019-12-13,2019-12-14,2019-12-15,2019-12-16,2019-12-17,2019-12-18,2019-12-19,2019-12-20,2019-12-21,2019-12-22,2019-12-23,2019-12-24,2019-12-25,2019-12-26,2019-12-27,2019-12-28,2019-12-29,2019-12-30,2019-12-31,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,cityName,cityName-en
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,4.0,6.0,12.0,16.0,18.0,18.0,21.0,25.0,31.0,35.0,44.0,46.0,40.0,35.0,37.0,42.0,42.0,41.0,42.0,38.0,34.0,31.0,27.0,26.0,26.0,24.0,24.0,20.0,17.0,15.0,13.0,11.0,11.0,8.0,8.0,7.0,中山,Zhongshan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,临夏回族自治州,Linxiahuizuzizhizhou
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,临汾,Linfen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,7.0,7.0,8.0,15.0,16.0,20.0,23.0,24.0,24.0,26.0,29.0,31.0,32.0,32.0,37.0,32.0,34.0,34.0,35.0,33.0,22.0,22.0,15.0,15.0,11.0,7.0,8.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,临沂,Linyi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,临沧,Lincang
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,临高,Lingao
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,丹东,Dandong
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,5.0,6.0,5.0,6.0,6.0,13.0,15.0,15.0,15.0,15.0,13.0,13.0,14.0,12.0,12.0,10.0,10.0,8.0,7.0,7.0,7.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,丽水,Lishui
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,丽江,Lijiang
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,乌兰察布,Wulanchabu
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,乌海,Wuhai
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,4.0,5.0,6.0,7.0,8.0,8.0,8.0,10.0,12.0,12.0,15.0,18.0,18.0,19.0,20.0,20.0,18.0,18.0,19.0,21.0,20.0,19.0,19.0,19.0,15.0,13.0,13.0,13.0,13.0,10.0,10.0,10.0,9.0,7.0,7.0,4.0,乌鲁木齐,Wulumuqi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,乐东黎族自治,Ledonglizuzizhi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,乐山,Leshan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,4.0,9.0,16.0,31.0,42.0,43.0,55.0,62.0,76.0,84.0,89.0,91.0,91.0,93.0,93.0,94.0,88.0,91.0,95.0,98.0,97.0,95.0,95.0,88.0,85.0,74.0,71.0,71.0,67.0,61.0,56.0,47.0,38.0,27.0,24.0,24.0,九江,Jiujiang
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,五家渠,Wujiaqu
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,6.0,6.0,8.0,15.0,19.0,19.0,24.0,28.0,37.0,46.0,56.0,64.0,67.0,67.0,76.0,82.0,85.0,85.0,85.0,84.0,87.0,82.0,73.0,73.0,61.0,50.0,43.0,38.0,35.0,28.0,27.0,21.0,19.0,9.0,9.0,8.0,5.0,亳州,Bozhou
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,11.0,12.0,27.0,32.0,55.0,89.0,96.0,137.0,166.0,185.0,221.0,260.0,302.0,291.0,340.0,358.0,368.0,386.0,404.0,416.0,425.0,434.0,419.0,405.0,404.0,394.0,364.0,339.0,321.0,304.0,286.0,240.0,219.0,200.0,168.0,148.0,118.0,仙桃,Xiantao
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,伊春,Yichun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,4.0,4.0,5.0,5.0,5.0,6.0,7.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,12.0,13.0,13.0,12.0,12.0,14.0,14.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,8.0,6.0,6.0,0.0,伊犁哈萨克自治州,Yilihasakezizhizhou
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,6.0,9.0,10.0,14.0,18.0,18.0,25.0,32.0,38.0,39.0,43.0,46.0,49.0,50.0,57.0,55.0,60.0,63.0,66.0,55.0,61.0,64.0,60.0,61.0,61.0,61.0,57.0,51.0,51.0,50.0,50.0,48.0,48.0,48.0,48.0,38.0,37.0,37.0,37.0,佛山,Foshan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,5.0,5.0,8.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,9.0,10.0,10.0,10.0,8.0,8.0,2.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,佳木斯,Jiamusi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,保亭黎族苗族自治,Baotinglizumiaozuzizhi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,3.0,6.0,7.0,11.0,11.0,11.0,11.0,11.0,15.0,13.0,14.0,14.0,10.0,13.0,17.0,21.0,20.0,20.0,14.0,13.0,12.0,6.0,6.0,5.0,5.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,保定,Baoding
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,4.0,5.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,保山,Baoshan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,22.0,23.0,29.0,32.0,42.0,49.0,70.0,88.0,99.0,112.0,138.0,164.0,176.0,165.0,168.0,177.0,192.0,194.0,193.0,191.0,183.0,186.0,185.0,184.0,180.0,180.0,173.0,134.0,123.0,101.0,81.0,64.0,63.0,45.0,40.0,14.0,11.0,信阳,Xinyang
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,8.0,8.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,13.0,13.0,13.0,13.0,8.0,7.0,6.0,6.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,儋州,Danzhou
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,公主岭,Gongzhuling
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,3.0,4.0,6.0,8.0,8.0,12.0,12.0,19.0,29.0,33.0,35.0,40.0,40.0,49.0,52.0,54.0,56.0,56.0,57.0,53.0,48.0,50.0,47.0,45.0,39.0,38.0,34.0,30.0,26.0,24.0,24.0,23.0,21.0,16.0,14.0,12.0,六安,Luan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,4.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,六盘水,Liupanshui
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,8.0,11.0,14.0,14.0,15.0,20.0,23.0,24.0,26.0,27.0,27.0,27.0,29.0,29.0,28.0,23.0,19.0,19.0,19.0,16.0,16.0,16.0,14.0,12.0,12.0,10.0,10.0,5.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,兰州,Lanzhou
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,兴安,Xingan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,3.0,4.0,4.0,6.0,10.0,11.0,12.0,15.0,15.0,16.0,17.0,16.0,15.0,15.0,15.0,16.0,17.0,18.0,16.0,17.0,17.0,16.0,16.0,16.0,12.0,12.0,12.0,11.0,9.0,9.0,7.0,4.0,4.0,4.0,4.0,内江,Neijiang
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,3.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,凉山彝族自治州,Liangshanyizuzizhizhou
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,6.0,7.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,9.0,9.0,9.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,包头,Baotou
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,10.0,14.0,22.0,36.0,41.0,68.0,77.0,86.0,109.0,126.0,150.0,173.0,199.0,204.0,228.0,242.0,263.0,279.0,287.0,291.0,291.0,293.0,295.0,290.0,274.0,271.0,263.0,261.0,244.0,238.0,223.0,217.0,206.0,197.0,181.0,161.0,157.0,146.0,132.0,129.0,124.0,北京,Beijing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,6.0,7.0,9.0,11.0,13.0,15.0,17.0,23.0,23.0,26.0,27.0,29.0,29.0,31.0,29.0,30.0,30.0,32.0,33.0,35.0,34.0,35.0,35.0,35.0,33.0,33.0,29.0,29.0,29.0,29.0,29.0,29.0,15.0,19.0,9.0,11.0,10.0,10.0,北海,Beihai
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,20.0,40.0,65.0,88.0,119.0,150.0,177.0,212.0,256.0,291.0,318.0,353.0,395.0,367.0,399.0,427.0,435.0,440.0,465.0,480.0,495.0,494.0,484.0,484.0,480.0,472.0,452.0,445.0,418.0,398.0,374.0,352.0,320.0,296.0,276.0,243.0,224.0,十堰,Shiyan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,7.0,7.0,10.0,14.0,19.0,25.0,26.0,33.0,38.0,42.0,43.0,41.0,44.0,42.0,45.0,49.0,56.0,62.0,63.0,64.0,64.0,64.0,62.0,60.0,57.0,55.0,46.0,41.0,41.0,41.0,36.0,36.0,35.0,35.0,35.0,35.0,30.0,南京,Nanjing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,5.0,9.0,11.0,16.0,23.0,26.0,27.0,28.0,29.0,30.0,28.0,29.0,30.0,29.0,30.0,29.0,29.0,28.0,26.0,26.0,25.0,26.0,24.0,23.0,23.0,19.0,18.0,17.0,16.0,16.0,16.0,16.0,16.0,15.0,南充,Nanchong
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,5.0,7.0,15.0,16.0,16.0,16.0,22.0,27.0,28.0,30.0,31.0,31.0,32.0,33.0,29.0,33.0,35.0,35.0,37.0,38.0,36.0,35.0,36.0,31.0,30.0,29.0,27.0,26.0,21.0,19.0,19.0,11.0,9.0,5.0,3.0,南宁,Nanning
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,3.0,3.0,8.0,8.0,11.0,11.0,12.0,12.0,12.0,12.0,13.0,14.0,16.0,17.0,16.0,17.0,16.0,15.0,13.0,13.0,12.0,12.0,12.0,12.0,10.0,10.0,10.0,8.0,8.0,7.0,6.0,6.0,6.0,南平,Nanping
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,8.0,17.0,25.0,46.0,66.0,82.0,88.0,99.0,117.0,127.0,139.0,148.0,148.0,148.0,152.0,151.0,149.0,151.0,149.0,150.0,150.0,152.0,139.0,134.0,116.0,96.0,84.0,67.0,51.0,48.0,45.0,42.0,36.0,32.0,28.0,23.0,南昌,Nanchang
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,4.0,6.0,6.0,9.0,10.0,12.0,17.0,19.0,22.0,1.0,27.0,27.0,27.0,29.0,30.0,28.0,30.0,26.0,28.0,28.0,25.0,25.0,23.0,21.0,17.0,17.0,17.0,12.0,8.0,7.0,6.0,5.0,3.0,3.0,3.0,3.0,南通,Nantong
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,14.0,18.0,25.0,30.0,50.0,60.0,65.0,61.0,83.0,98.0,106.0,110.0,117.0,111.0,115.0,107.0,102.0,102.0,101.0,106.0,99.0,98.0,92.0,95.0,96.0,88.0,88.0,88.0,47.0,38.0,28.0,23.0,23.0,24.0,14.0,4.0,4.0,南阳,Nanyang
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,4.0,4.0,5.0,7.0,13.0,17.0,18.0,19.0,20.0,21.0,21.0,23.0,21.0,23.0,23.0,25.0,28.0,28.0,30.0,30.0,29.0,29.0,27.0,26.0,25.0,25.0,18.0,18.0,14.0,12.0,8.0,5.0,4.0,1.0,1.0,1.0,厦门,Xiamen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,4.0,7.0,12.0,16.0,19.0,35.0,35.0,33.0,35.0,35.0,35.0,36.0,36.0,45.0,45.0,46.0,44.0,46.0,41.0,38.0,33.0,30.0,29.0,29.0,26.0,21.0,20.0,17.0,13.0,13.0,双鸭山,Shuangyashan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,20.0,21.0,22.0,22.0,40.0,64.0,81.0,64.0,96.0,102.0,104.0,111.0,110.0,115.0,112.0,108.0,111.0,106.0,105.0,97.0,95.0,92.0,85.0,83.0,83.0,77.0,72.0,69.0,62.0,54.0,48.0,48.0,48.0,45.0,43.0,40.0,39.0,38.0,台州,Taizhou
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,15.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,19.0,20.0,21.0,23.0,23.0,25.0,24.0,25.0,26.0,26.0,24.0,29.0,30.0,台湾,Taiwan
